Field=#~Integer~#~50|Field=Assembly Info~String~Assembly Info~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=PartType~String~PartType~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Manufacturer~String~Manufacturer~100|Field=Part Description~String~Part Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LimeSDR_Mini_1v0.PrjPcb|ReportField=ProjectFullPath~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR_Mini_1v0\Altium Designer design files\LimeSDR_Mini_1v0.PrjPcb|ReportField=Title~Bill of Materials For Project [LimeSDR_Mini_1v0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~370|ReportField=ReportTime~12:40:00|ReportField=ReportDate~2017-09-19|ReportField=ReportDateTime~2017-09-19 12:40:00|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Surrey Tech Centre|ReportField=Address2~Guildford GU2 7YG|ReportField=Address3~Surrey|ReportField=Address4~United Kingdom|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2017-09-19|ReportField=CurrentTime~12:13:18|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR_Mini_1v0\Altium Designer design files\Schematics\01_BlockDiagram.SchDoc|ReportField=DocumentName~01_BlockDiagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2017-09-18|ReportField=Organization~Lime Microsystems|ReportField=ProjectName~LimeSDR_Mini_1v0.PrjPcb|ReportField=Revision~v1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~Block diagram|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.70:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=2970:PaperWidth=2100:Scale=100:PaperSource=7:PrintQuality=600:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A4:PaperIndex=9|ReportField=DataSourceFileName~LimeSDR_Mini_1v0.PrjPcb|ReportField=DataSourceFullPath~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR_Mini_1v0\Altium Designer design files\LimeSDR_Mini_1v0.PrjPcb
1||10pF, 25V||C1, C17, C18, C28, C29|CAP0402|5||10pF, 25V|04023A100JAT2A|Farnell|2332478RL|AVX|10pF ±5% 25V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
2||1uF, 10V||C2, C153, C157, C164, C168, C173|CAP0402|6||1uF, 10V|GRM155R61A105KE15J|Newark|490-6298-2-ND|TDK|1µF ±10% 10V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
3|[NoValue], [NoValue], [NoValue], [NoValue], NF, NF, NF, NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF|100pF, 50V||C3, C5, C7, C8, C12, C19, C20, C22, C23, C159, C160, C166, C167, C170, C171, C183|CAP0402|16||100pF, 50V|CC0402JRNPO9BN101|Digi-Key|311-1024-1-ND|Yageo|100pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
4|[NoValue], [NoValue], [NoValue], [NoValue], NF, NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue]|100nF, 16V||C4, C6, C9, C10, C11, C21, C87, C123, C125, C127, C147, C148, C149, C150, C155, C156, C158, C161, C162, C163, C165, C169, C172, C174, MN11, MN14|CAP0402|26|GRM155R71C104KA88D|100nF, 16V|GRM155R71C104KA88D|Mouser|81-GRM155R71C104KA88|Murata Electronics|0.10µF ±10% 16V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
5||47pF, 50V||C13, C16, C24, C27|CAP0402|4||47pF, 50V|C1005C0G1H470F050BA|Digi-Key|445-5361-1-ND|TDK Corporation|47pF ±1% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
6||510pF||C14, C15, C25, C26, MN19, MN22|CAP0402|6|GRM1555C1H511JA01D|510pF|GRM1555C1H511JA01D|Digi-Key|490-3237-1-ND|Murata Electronics North America|510pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
7||1uF, 6.3V||C30, C32, C34, C36, C38, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C55, C56, C57, C58, C59, C60, C62, C64, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C89, C96, C103, C109, C113, C129, C131, C133, C135, C138, C146|CAP0201|59||1uF, 6.3V|C0603X5R0J105M030BC|Digi-Key|445-8008-1-ND|TDK Corporation|1µF ±20% 6.3V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
8||1nF, 10%||C31, C33, C35, C37, C39, C54, C61, C63, C65|CAP0201|9||1nF, 10%|C0603X7R1E102K030BA|Digi-Key|445-7275-1-ND|TDK Corporation|1000pF ±10% 25V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
9||10uF, 6.3V||C88, C95, C102, C108, C112, C128, C137, C145, C175, C180, C184|CAP0603|11||10uF, 6.3V|CC0603MRX5R5BB106|Digi-Key|311-1448-2-ND|Yageo|10µF ±20% 6.3V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)
10||100nF, 6.3V||C90, C91, C92, C93, C94, C97, C98, C99, C100, C101, C104, C105, C106, C107, C110, C111, C114, C115, C116, C117, C118, C119, C120, C121, C122, C130, C132, C134, C136, C139, C141, C143|CAP0201|32||100nF, 6.3V|GRM033C80J104KE84D|Mouser|81-GRM33C80J104KE84D|Murata|0.10µF ±10% 6.3V X6S Ceramic Capacitor -55°C ~ 105°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
