Altium Designer Pick and Place Locations
d:\Lime\LimePCBs\LimeSDR_Mini_1v3\FINAL_VERSION_DFM\LimeSDR_Mini_1v3_DFMr0\Project Outputs for LimeSDR_Mini_1v3\Pick Place\Pick Place for LimeSDR_Mini_1v3_Rounded_panel.txt

========================================================================================================================
File Design Information:

Date:       28-06-19
Time:       13:09
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                           Layer       Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                                               
FIDUCIAL7  Comment                           BottomLayer FIDUCIAL                      7.1999       148.2800     270      ""                                                                                                                        
FIDUCIAL8  Comment                           BottomLayer FIDUCIAL                      61.7999      148.2800     270      ""                                                                                                                        
FIDUCIAL3  Comment                           TopLayer    FIDUCIAL                      7.1999       148.2800     270      ""                                                                                                                        
FIDUCIAL4  Comment                           TopLayer    FIDUCIAL                      61.7999      148.2800     270      ""                                                                                                                        
FIDUCIAL1  Comment                           TopLayer    FIDUCIAL                      7.2000       -8.0000      90       ""                                                                                                                        
FIDUCIAL2  Comment                           TopLayer    FIDUCIAL                      61.8000      -8.0000      90       ""                                                                                                                        
FIDUCIAL5  Comment                           BottomLayer FIDUCIAL                      7.2000       -8.0000      90       ""                                                                                                                        
FIDUCIAL6  Comment                           BottomLayer FIDUCIAL                      61.8000      -8.0000      90       ""                                                                                                                        
R96        22R                               TopLayer    RES0402                       19.0250      9.5650       180      ""                                                                                                                        
R95        22R                               TopLayer    RES0402                       20.6500      9.7500       270      ""                                                                                                                        
R85        22R                               TopLayer    RES0402                       20.6500      11.8500      90       ""                                                                                                                        
C195       "1nF, 10%"                        BottomLayer CAP0201                       43.7750      10.3500      360      ""                                                                                                                        
C194       "1nF, 10%"                        BottomLayer CAP0201                       44.9500      12.6550      90       ""                                                                                                                        
IC13       LMZ10501                          TopLayer    LMZ10501                      26.1000      5.7250       90       ""                                                                                                                        
IC12       LMZ10501                          TopLayer    LMZ10501                      17.1250      6.5250       90       ""                                                                                                                        
R94        0R                                BottomLayer RES0402                       15.9000      4.8500       360      ""                                                                                                                        
C193       "1uF, 10V"                        BottomLayer CAP0402                       15.5250      3.6250       360      ""                                                                                                                        
C192       "470pF, 50V"                      TopLayer    CAP0402                       26.4250      3.8000       360      ""                                                                                                                        
C191       "470pF, 50V"                      TopLayer    CAP0402                       16.8000      3.6636       270      ""                                                                                                                        
C181       "22uF, 10V"                       TopLayer    CAP0603                       26.7500      8.1750       180      ""                                                                                                                        
FR45       "600R, 0.27A"                     BottomLayer RES0201                       53.5500      12.6800      270      ""                                                                                                                        
R92        10R                               BottomLayer RES0201                       50.9000      9.8750       270      ""                                                                                                                        
C190       "1uF, 6.3V"                       BottomLayer CAP0201                       49.7250      9.3250       360      ""                                                                                                                        
IC11       W25Q40EWUXIE                      BottomLayer W25Q40EWUXIE_8-USON           21.3250      6.1500       90       ""                                                                                                                        
T1         TC1-1-13M-45+                     TopLayer    TC1-1-13MA+_JA4220-AL_        55.5000      17.1100      360      ""                                                                                                                        
R62        0R                                BottomLayer RES0402                       24.5885      23.5025      270      ""                                                                                                                        
